mes_referencia;'Mes de preenchimento dos dados'
i1e;'I.1. Pessoas em situação de rua - Feminino 0 a 12 anos'
i1f;'I.1. Pessoas em situação de rua - Feminino 13 a 17 anos'
i1g;'I.1. Pessoas em situação de rua - Feminino 18 a 59 anos'
i1h;'I.1. Pessoas em situação de rua - Feminino 60 anos ou mais'
j1;'J.1. Total de adolescentes em cumprimento de Medidas Socioeducativas (MSE) em acompanhamento pelo CREAS'
j2;'J.2. Quantidade de adolescentes em cumprimento de Liberdade Assistida - LA'
j3;'J.3. Quantidade de adolescentes em cumprimento de Prestação de Serviços à Comunidade - PSC'
j4;'J.4. Total adolescentes em cumprimento de MSE que ingressaram em acompanhamento no mês - Total'
j4a;'J.4. Total de novos adolescentes em cumprimento de Medidas Socioeducativas (LA e/ou PSC), inseridos em acompanhamento no mês de referência - Masculino'
j4b;'J.4. Total de novos adolescentes em cumprimento de Medidas Socioeducativas (LA e/ou PSC), inseridos em acompanhamento no mês de referência - Feminino'
j5;'J.5. Quantidade de adolescentes em cumprimento de LA que ingressaram em acompanhamento no mês - Total'
j5a;'J.5. Novos adolescentes em cumprimento de LA, inseridos em acompanhamento, no mês de referência - Masculino'
j5b;'J.5. Novos adolescentes em cumprimento de LA, inseridos em acompanhamento, no mês de referência - Feminino'
j6;'J.6. Quantidade de adolescentes em cumprimento de PSC que ingressaram em acompanhamento no mês - Total'
j6a;'J.6. Novos adolescentes em cumprimento de PSC, inseridos em acompanhamento, no mês de referência - Masculino'
j6b;'J.6. Novos adolescentes em cumprimento de PSC, inseridos em acompanhamento, no mês de referência - Feminino'
k1;'K.1. Pessoas abordadas pelo Serviço de Abordagem Social, durante o mês de referência - Total'
k1a;'K.1. Pessoas abordadas pelo Serviço de Abordagem Social, durante o mês de referência - Masculino 0 a 12 anos'
k1b;'K.1. Pessoas abordadas pelo Serviço de Abordagem Social, durante o mês de referência - Masculino 13 a 17 anos'
k1c;'K.1. Pessoas abordadas pelo Serviço de Abordagem Social, durante o mês de referência - Masculino 18 a 59 anos'
k1d;'K.1. Pessoas abordadas pelo Serviço de Abordagem Social, durante o mês de referência - Masculino 60 anos ou mais'
k1e;'K.1. Pessoas abordadas pelo Serviço de Abordagem Social, durante o mês de referência - Feminino 0 a 12 anos'
k1f;'K.1. Pessoas abordadas pelo Serviço de Abordagem Social, durante o mês de referência - Feminino 13 a 17 anos'
k1g;'K.1. Pessoas abordadas pelo Serviço de Abordagem Social, durante o mês de referência - Feminino 18 a 59 anos'
